session_key,meeting_key,date,driver_number,pit_duration,lap_number
9673,1233,2024-04-21T07:17:54.233000+00:00,27,23.0,8
9673,1233,2024-04-21T07:17:58.818000+00:00,22,23.1,8
9673,1233,2024-04-21T07:18:03.165000+00:00,24,23.3,8
9673,1233,2024-04-21T07:19:34.534000+00:00,18,23.8,9
9673,1233,2024-04-21T07:19:35.920000+00:00,77,22.9,9
9673,1233,2024-04-21T07:19:38.517000+00:00,31,23.1,9
9673,1233,2024-04-21T07:19:39.721000+00:00,23,23.2,9
9673,1233,2024-04-21T07:19:42.310000+00:00,44,22.5,9
9673,1233,2024-04-21T07:22:51.787000+00:00,14,23.0,11
9673,1233,2024-04-21T07:22:55.186000+00:00,63,22.4,11
9673,1233,2024-04-21T07:23:24.239000+00:00,10,39.7,11
9673,1233,2024-04-21T07:24:57.873000+00:00,2,23.2,12
9673,1233,2024-04-21T07:25:56.763000+00:00,1,22.4,13
9673,1233,2024-04-21T07:26:05.986000+00:00,11,22.0,13
9673,1233,2024-04-21T07:28:16.873000+00:00,3,22.5,14
9673,1233,2024-04-21T07:31:26.972000+00:00,81,22.6,16
9673,1233,2024-04-21T07:33:12.635000+00:00,55,22.6,17
9673,1233,2024-04-21T07:33:37.510000+00:00,20,22.9,17
9673,1233,2024-04-21T07:39:57.405000+00:00,16,22.3,21
9673,1233,2024-04-21T07:40:30.736000+00:00,18,22.9,21
9673,1233,2024-04-21T07:40:46.670000+00:00,44,22.6,21
9673,1233,2024-04-21T07:41:59.952000+00:00,4,22.1,22
9673,1233,2024-04-21T07:44:07.683000+00:00,1,22.2,23
9673,1233,2024-04-21T07:44:26.611000+00:00,11,22.3,23
9673,1233,2024-04-21T07:44:44.517000+00:00,14,22.6,23
9673,1233,2024-04-21T07:44:48.706000+00:00,63,22.7,23
9673,1233,2024-04-21T07:45:05.889000+00:00,27,23.3,23
9673,1233,2024-04-21T07:45:12.139000+00:00,31,23.2,23
9673,1233,2024-04-21T07:45:17.677000+00:00,22,22.3,23
9673,1233,2024-04-21T07:45:21.571000+00:00,23,23.6,23
9673,1233,2024-04-21T07:45:28.719000+00:00,24,25.6,23
9673,1233,2024-04-21T07:45:36.934000+00:00,10,23.9,23
9673,1233,2024-04-21T07:47:04.642000+00:00,81,22.2,24
9673,1233,2024-04-21T07:47:38.247000+00:00,2,22.6,24
9673,1233,2024-04-21T07:53:19.912000+00:00,18,93.2,26
9673,1233,2024-04-21T07:54:48.761000+00:00,20,25.7,27
9673,1233,2024-04-21T08:10:45.289000+00:00,18,34.7,35
9673,1233,2024-04-21T08:15:35.007000+00:00,10,22.8,38
9673,1233,2024-04-21T08:18:59.803000+00:00,24,23.2,40
9673,1233,2024-04-21T08:23:42.506000+00:00,14,23.1,43
