session_key,meeting_key,date,driver_number,pit_duration,lap_number
9496,1232,2024-04-07T05:41:11.036000+00:00,27,23.6,5
9496,1232,2024-04-07T05:42:47.149000+00:00,77,24.8,6
9496,1232,2024-04-07T05:44:23.658000+00:00,22,23.3,7
9496,1232,2024-04-07T05:44:31.628000+00:00,24,23.9,7
9496,1232,2024-04-07T05:50:44.884000+00:00,4,23.0,11
9496,1232,2024-04-07T05:51:28.738000+00:00,24,26.6,11
9496,1232,2024-04-07T05:52:30.861000+00:00,81,23.4,12
9496,1232,2024-04-07T05:52:41.007000+00:00,18,23.3,12
9496,1232,2024-04-07T05:54:07.567000+00:00,14,22.9,13
9496,1232,2024-04-07T05:57:14.863000+00:00,11,22.9,15
9496,1232,2024-04-07T05:57:18.818000+00:00,55,23.1,15
9496,1232,2024-04-07T05:58:47.121000+00:00,1,23.1,16
9496,1232,2024-04-07T05:59:43.262000+00:00,10,23.8,16
9496,1232,2024-04-07T06:04:35.659000+00:00,31,23.3,19
9496,1232,2024-04-07T06:09:03.514000+00:00,63,23.5,22
9496,1232,2024-04-07T06:09:29.413000+00:00,22,23.4,22
9496,1232,2024-04-07T06:09:30.179000+00:00,20,26.1,22
9496,1232,2024-04-07T06:09:30.269000+00:00,18,23.2,22
9496,1232,2024-04-07T06:09:30.585000+00:00,77,25.9,22
9496,1232,2024-04-07T06:09:30.908000+00:00,2,25.5,22
9496,1232,2024-04-07T06:10:45.740000+00:00,44,23.3,23
9496,1232,2024-04-07T06:15:25.709000+00:00,16,23.2,26
9496,1232,2024-04-07T06:15:26.492000+00:00,4,23.2,26
9496,1232,2024-04-07T06:25:23.438000+00:00,81,22.8,32
9496,1232,2024-04-07T06:26:27.249000+00:00,10,23.1,32
9496,1232,2024-04-07T06:26:41.709000+00:00,11,22.9,33
9496,1232,2024-04-07T06:26:57.226000+00:00,14,23.1,33
9496,1232,2024-04-07T06:27:47.111000+00:00,27,23.9,33
9496,1232,2024-04-07T06:27:58.668000+00:00,31,24.1,33
9496,1232,2024-04-07T06:28:07.304000+00:00,1,23.2,34
9496,1232,2024-04-07T06:29:22.122000+00:00,18,22.9,34
9496,1232,2024-04-07T06:29:29.509000+00:00,2,24.2,34
9496,1232,2024-04-07T06:31:38.439000+00:00,55,23.5,36
9496,1232,2024-04-07T06:33:31.539000+00:00,63,22.9,37
9496,1232,2024-04-07T06:36:50.085000+00:00,44,23.9,39
9496,1232,2024-04-07T06:41:48.805000+00:00,2,23.2,41
